Lambda_Factor,Escenario,Capacidad_Bytes,Replica,W_Tiempo_Esp_Promedio,W_Tiempo_Esp_Maximo,W_Tiempo_Esp_P95,Lq_Cola_Promedio,Lq_Cola_Maximo,Throughput,N_Transacciones,N_Bloques_Minados
0.0005,1,500000.0,1,15285.939177511771,27078.50528194699,25897.195760037423,11566.59633027523,53772,0.8607638888888889,61975,47
0.0005,1,500000.0,2,9270.173666328747,9529.097562896242,9519.435939581885,8.714762301918265,1161,0.016125,1161,1
0.0005,1,500000.0,3,1443.8645620586626,2865.3673897644585,2294.3067880467624,106.25187656380317,5511,0.07654166666666666,5511,5
0.0005,1,500000.0,4,2673.3523116474857,9022.009922273133,7038.928839123402,1267.2176814011677,15285,0.47888888888888886,34480,26
0.0005,1,500000.0,5,14760.568450676594,22268.774065634643,21252.678625389082,3946.999165971643,34023,0.6277222222222222,45196,36
0.0005,1,500000.0,6,0.0,0.0,0.0,0.0,0,0.0,0,0
0.0005,1,500000.0,7,2820.3667509584,5615.373036129182,5118.801251185789,490.4720600500417,12482,0.1815138888888889,13069,11
0.0005,1,500000.0,8,0.0,0.0,0.0,0.0,0,0.0,0,0
0.0005,1,500000.0,9,9008.629980410225,21274.001216860866,20154.84676768364,6055.230191826522,32715,0.9564861111111111,68867,52
0.0005,1,500000.0,10,25414.016931798047,45928.82626462949,43626.37498542503,41461.71559633027,91686,1.8123888888888888,130492,98
0.0005,1,1000000.0,1,9473.736341328537,21104.10145539392,20263.130580594985,17786.107589658048,89723,1.8820138888888889,135505,51
0.0005,1,1000000.0,2,11522.591008589725,31279.452074299377,25610.543595299434,26776.5329441201,72556,3.2891944444444445,236822,89
0.0005,1,1000000.0,3,6347.125645763896,22121.20792921481,17068.65797517939,17890.06088407006,69091,2.9100694444444444,209525,81
0.0005,1,1000000.0,4,6094.5601017056415,17354.271630741845,14794.652029614248,10278.51376146789,42926,1.8431527777777779,132707,50
0.0005,1,1000000.0,5,8229.031986711836,20785.24324525572,19127.370098157935,15426.061718098415,74616,1.880375,135387,51
0.0005,1,1000000.0,6,3737.8441795860826,8973.991993620464,8167.568896024042,2735.4345287739784,37456,0.737375,53091,21
0.0005,1,1000000.0,7,2868.1561043119414,7474.637463368603,6924.506738828766,2919.3878231859885,22530,1.2999722222222223,93598,36
0.0005,1,1000000.0,8,16265.457346953273,17294.502553903978,17199.982780590402,656.7180984153462,19545,0.27145833333333336,19545,8
0.0005,1,1000000.0,9,0.0,0.0,0.0,0.0,0,0.0,0,0
0.0005,1,1000000.0,10,1787.2903625006188,7716.6165027794195,7369.305824036242,2615.161801501251,30946,0.5573472222222222,40129,15
